time,open,high,low,close,volume,I,y,b,f,c,x
1638618240000,4.9229,4.932,4.8879,4.9319,35348,1638618299999,173278.9465,247,12714,62376.9342,0
1638618300000,4.9318,4.9917,4.9197,4.9917,40328,1638618359999,199660.0633,324,13546,67050.4243,0
1638618360000,4.9916,5.0385,4.9839,5.0355,15714,1638618419999,78797.3485,267,12469,62547.4463,0
1638618420000,5.0328,5.0328,5.0029,5.0159,15166,1638618479999,76067.7772,122,9312,46706.7999,0
1638618480000,5.0147,5.0375,4.9956,5.0375,34758,1638618539999,174291.3539,203,23186,116317.7977,0
1638618540000,5.0333,5.0554,5.011,5.019,28923,1638618599999,145669.7112,287,10811,54540.4212,0
1638618600000,5.012,5.0314,5.0114,5.0159,6066,1638618659999,30461.238,61,2207,11085.2125,0
1638618660000,5.0192,5.0469,5.0148,5.0284,8567,1638618719999,43135.6718,108,2649,13343.9692,0
1638618720000,5.0289,5.0388,5.0171,5.0297,5954,1638618779999,29936.5684,77,3179,15985.0496,0
1638618780000,5.0296,5.0296,4.9913,4.9943,22413,1638618839999,112271.2194,141,2517,12597.2069,0
1638618840000,4.9959,5.0343,4.9872,5.0275,22558,1638618899999,113077.2222,170,14695,73589.2554,0
1638618900000,5.0299,5.0708,5.0281,5.0499,23709,1638618959999,119838.2187,289,17459,88259.7076,0
1638618960000,5.0499,5.0671,5.0368,5.052,6654,1638619019999,33638.9224,79,4160,21040.7445,0
1638619020000,5.054,5.056,5.0211,5.0447,7083,1638619079999,35629.963,136,1850,9316.7939,0
1638619080000,5.038,5.038,5.0085,5.0207,21775,1638619139999,109373.5459,174,5701,28639.7425,0
1638619140000,5.0234,5.0359,5.0065,5.0142,4085,1638619199999,20509.4257,63,2223,11177.6438,0
1638619200000,5.02,5.0567,5.02,5.0567,19343,1638619259999,97411.4706,131,15670,78902.1801,0
1638619260000,5.0567,5.0836,5.0526,5.0632,8660,1638619319999,43894.129,208,4803,24340.8111,0
1638619320000,5.0693,5.0956,5.0629,5.0936,16800,1638619379999,85361.4702,203,10117,51397.4164,0
1638619380000,5.0911,5.0936,5.0632,5.0711,12140,1638619439999,61606.4449,103,5494,27890.521,0
1638619440000,5.07,5.07,5.0503,5.0651,7325,1638619499999,37062.4735,105,3121,15792.394,0
1638619500000,5.0651,5.0807,5.0605,5.0726,17562,1638619559999,89147.0011,100,13801,70069.3381,0
1638619560000,5.0733,5.0813,5.0444,5.0547,16631,1638619619999,84065.3624,162,4292,21683.1478,0
1638619620000,5.05,5.0591,5.0281,5.0406,28856,1638619679999,145575.5319,139,1504,7593.1336,0
1638619680000,5.041,5.0635,5.0396,5.0491,7003,1638619739999,35376.5584,81,4526,22858.1762,0
1638619740000,5.0529,5.0597,5.0314,5.0398,20127,1638619799999,101617.4596,103,17679,89275.3763,0
1638619800000,5.0344,5.05,5.0344,5.0492,2998,1638619859999,15108.6253,47,691,3486.0122,0
1638619860000,5.0431,5.0695,5.0431,5.0695,68848,1638619919999,347756.1513,218,64036,323419.2246,0
1638619920000,5.0633,5.1074,5.0633,5.0931,26216,1638619979999,133441.0006,307,21426,109046.7749,0
1638619980000,5.1,5.1073,5.0867,5.0921,14248,1638620039999,72588.2135,99,1939,9885.5201,0
